Sample ID	Block	Time	Jar	Treatment	Measurement Date	Measurer Name	Larval Stage	Length	Height	Circumference 	Alive/Dead	Normal.Deformed
CS.B06.T00.J06 7.24.18-0014	B06	T00	J06	CON	6/19/2019	Melati Tarrant	Trochophore	0.056	0.059	0.184	Alive	Normal
CS.B06.T00.J06 7.24.18-0015	B06	T00	J06	CON	6/19/2019	Melati Tarrant	Trochophore	0.052	0.056	0.183	Alive	Normal
CS.B06.T00.J06 7.24.18-0015	B06	T00	J06	CON	6/19/2019	Melati Tarrant	Trochophore	0.071	0.066	0.220	Alive	Normal
CS.B06.T00.J06 7.24.18-0016	B06	T00	J06	CON	6/19/2019	Melati Tarrant	Trochophore	0.059	0.057	0.182	Alive	Normal
CS.B06.T00.J06 7.24.18-0017 B	B06	T00	J06	CON	6/19/2019	Melati Tarrant	Trochophore	0.056	0.053	0.183	Alive	Normal
CS.B06.T00.J06 7.24.18-0018	B06	T00	J06	CON	6/19/2019	Melati Tarrant	Trochophore	0.067	0.073	0.222	Alive	Normal
CS.B06.T00.J06 7.24.18-0019	B06	T00	J06	CON	6/19/2019	Melati Tarrant	Trochophore	0.058	0.054	0.186	Alive	Normal
CS.B06.T00.J06 7.24.18-0020	B06	T00	J06	CON	6/19/2019	Melati Tarrant	Trochophore	0.042	0.042	0.127	Alive	Normal
CS.B06.T00.J06 7.24.18-0021	B06	T00	J06	CON	6/19/2019	Melati Tarrant	Trochophore	0.059	0.064	0.197	Alive	Normal
CS.B06.T00.J06 7.24.18-0022 A	B06	T00	J06	CON	6/19/2019	Melati Tarrant	Trochophore	0.051	0.060	0.176	Alive	Normal
CS.B06.T00.J06 7.24.18-0022 B	B06	T00	J06	CON	6/19/2019	Melati Tarrant	Trochophore	0.061	0.056	0.183	Alive	Normal
CS.B06.T00.J06 7.24.18-0023	B06	T00	J06	CON	6/19/2019	Melati Tarrant	Trochophore	0.054	0.057	0.180	Alive	Normal
CS.B06.T00.J06 7.24.18-0024	B06	T00	J06	CON	6/19/2019	Melati Tarrant	Trochophore	0.078	0.054	0.218	Alive	Normal
CS.B06.T00.J06 7.24.18-0025	B06	T00	J06	CON	6/19/2019	Melati Tarrant	Trochophore	0.056	0.060	0.179	Alive	Normal
CS.B06.T00.J06 7.24.18-0026	B06	T00	J06	CON	6/19/2019	Melati Tarrant	Trochophore	0.055	0.059	0.181	Alive	Normal
CS.B06.T00.J07 7.24.18-0001	B06	T00	J07	CASE	6/19/2019	Melati Tarrant	Trochophore	0.057	0.062	0.181	Alive	Normal
CS.B06.T00.J07 7.24.18-0002	B06	T00	J07	CASE	6/19/2019	Melati Tarrant	Trochophore	0.041	0.042	0.140	Alive	Normal
CS.B06.T00.J07 7.24.18-0003	B06	T00	J07	CASE	6/19/2019	Melati Tarrant	Trochophore	0.053	0.060	0.181	Alive	Normal
CS.B06.T00.J07 7.24.18-0004	B06	T00	J07	CASE	6/19/2019	Melati Tarrant	Trochophore	0.058	0.051	0.178	Alive	Normal
CS.B06.T00.J07 7.24.18-0005	B06	T00	J07	CASE	6/19/2019	Melati Tarrant	Trochophore	0.055	0.056	0.179	Alive	Normal
CS.B06.T00.J07 7.24.18-0006	B06	T00	J07	CASE	6/19/2019	Melati Tarrant	Trochophore	0.058	0.056	0.191	Alive	Normal
CS.B06.T00.J07 7.24.18-0007	B06	T00	J07	CASE	6/19/2019	Melati Tarrant	Trochophore	0.054	0.055	0.181	Alive	Normal
CS.B06.T00.J07 7.24.18-0010	B06	T00	J07	CASE	6/19/2019	Melati Tarrant	Trochophore	0.064	0.059	0.207	Alive	Normal
CS.B06.T00.J07 7.24.18-0011	B06	T00	J07	CASE	6/19/2019	Melati Tarrant	Trochophore	0.055	0.061	0.177	Alive	Normal
CS.B06.T00.J07 7.24.18-0013	B06	T00	J07	CASE	6/19/2019	Melati Tarrant	Trochophore	0.055	0.052	0.165	Alive	Normal
CS.B06.T00.J07 7.24.18-0014	B06	T00	J07	CASE	6/19/2019	Melati Tarrant	Trochophore	0.053	0.047	0.161	Alive	Normal
CS.B06.T00.J07 7.24.18-0015	B06	T00	J07	CASE	6/19/2019	Melati Tarrant	Trochophore	0.051	0.060	0.184	Alive	Normal
CS.B06.T00.J07 7.24.18-0016	B06	T00	J07	CASE	6/19/2019	Melati Tarrant	Trochophore	0.046	0.065	0.175	Alive	Normal
CS.B06.T00.J07 7.24.18-0017	B06	T00	J07	CASE	6/19/2019	Melati Tarrant	Trochophore	0.059	0.052	0.182	Alive	Normal
CS.B06.T00.J07 7.24.18-0018 A	B06	T00	J07	CASE	6/19/2019	Melati Tarrant	Trochophore	0.065	0.069	0.210	Alive	Normal
CS.B06.T00.J07 7.24.18-0018 B	B06	T00	J07	CASE	6/19/2019	Melati Tarrant	Trochophore	0.052	0.057	0.177	Alive	Normal
CS.B06.T00.J07 7.24.18-0019	B06	T00	J07	CASE	6/19/2019	Melati Tarrant	Trochophore	0.054	0.063	0.189	Alive	Normal
CS.B06.T00.J07 7.24.18-0021	B06	T00	J07	CASE	6/19/2019	Melati Tarrant	Trochophore	0.051	0.060	0.187	Alive	Normal
CS.B06.T00.J07 7.24.18-0022	B06	T00	J07	CASE	6/19/2019	Melati Tarrant	Trochophore	0.051	0.051	0.178	Alive	Normal
CS.B06.T00.J07 7.24.18-0023	B06	T00	J07	CASE	6/19/2019	Melati Tarrant	Trochophore	0.056	0.052	0.172	Alive	Normal
CS.B06.T00.J07 7.24.18-0024	B06	T00	J07	CASE	6/19/2019	Melati Tarrant	Trochophore	0.050	0.056	0.179	Alive	Normal
CS.B06.T00.J07 7.24.18-0025	B06	T00	J07	CASE	6/19/2019	Melati Tarrant	Trochophore	0.062	0.049	0.181	Alive	Normal
CS.B06.T00.J07 7.24.18-0026	B06	T00	J07	CASE	6/19/2019	Melati Tarrant	Trochophore	0.049	0.060	0.175	Alive	Normal
CS.B06.T00.J08 7.28.18-0001	B06	T00	J08	CA	6/19/2019	Melati Tarrant	Trochophore	0.050	0.060	0.176	Alive	Normal
CS.B06.T00.J08 7.28.18-0002	B06	T00	J08	CA	6/19/2019	Melati Tarrant	Trochophore	0.058	0.052	0.186	Alive	Normal
CS.B06.T00.J08 7.28.18-0003	B06	T00	J08	CA	6/19/2019	Melati Tarrant	Trochophore	0.054	0.054	0.167	Alive	Normal
CS.B06.T00.J08 7.28.18-0004	B06	T00	J08	CA	6/19/2019	Melati Tarrant	Trochophore	0.060	0.053	0.183	Alive	Normal
CS.B06.T00.J08 7.28.18-0006	B06	T00	J08	CA	6/20/2019	Melati Tarrant	Trochophore	0.054	0.054	0.170	Alive	Normal
CS.B06.T00.J08 7.28.18-0008 B	B06	T00	J08	CA	6/20/2019	Melati Tarrant	Trochophore	0.053	0.062	0.188	Alive	Normal
CS.B06.T00.J08 7.28.18-0010	B06	T00	J08	CA	6/20/2019	Melati Tarrant	Trochophore	0.051	0.051	0.170	Alive	Normal
CS.B06.T00.J08 7.28.18-0012 A	B06	T00	J08	CA	6/20/2019	Melati Tarrant	Trochophore	0.056	0.059	0.186	Alive	Normal
CS.B06.T00.J08 7.28.18-0012 B	B06	T00	J08	CA	6/20/2019	Melati Tarrant	Trochophore	0.057	0.054	0.189	Alive	Normal
CS.B06.T00.J09 7.28.18-0001	B06	T00	J09	SE	6/20/2019	Melati Tarrant	Trochophore	0.052	0.057	0.183	Alive	Normal
CS.B06.T00.J09 7.28.18-0002	B06	T00	J09	SE	6/20/2019	Melati Tarrant	Trochophore	0.052	0.049	0.164	Alive	Normal
CS.B06.T00.J09 7.28.18-0003	B06	T00	J09	SE	6/20/2019	Melati Tarrant	Trochophore	0.052	0.054	0.180	Alive	Normal
CS.B06.T00.J09 7.28.18-0004	B06	T00	J09	SE	6/20/2019	Melati Tarrant	Trochophore	0.043	0.038	0.137	Alive	Normal
CS.B06.T00.J09 7.28.18-0005 A	B06	T00	J09	SE	6/20/2019	Melati Tarrant	Trochophore	0.064	0.048	0.185	Alive	Normal
CS.B06.T00.J09 7.28.18-0005 B	B06	T00	J09	SE	6/20/2019	Melati Tarrant	Trochophore	0.052	0.057	0.188	Alive	Normal
CS.B06.T00.J09 7.28.18-0006 A	B06	T00	J09	SE	6/20/2019	Melati Tarrant	Trochophore	0.046	0.056	0.168	Alive	Normal
CS.B06.T00.J09 7.28.18-0006 B	B06	T00	J09	SE	6/20/2019	Melati Tarrant	Trochophore	0.054	0.060	0.185	Alive	Normal
CS.B06.T00.J09 7.28.18-0007	B06	T00	J09	SE	6/20/2019	Melati Tarrant	Trochophore	0.058	0.051	0.184	Alive	Normal
CS.B06.T00.J09 7.28.18-0008	B06	T00	J09	SE	6/20/2019	Melati Tarrant	Trochophore	0.062	0.054	0.183	Alive	Normal
CS.B06.T00.J09 7.28.18-0009	B06	T00	J09	SE	6/20/2019	Melati Tarrant	Trochophore	0.051	0.059	0.188	Alive	Normal
CS.B06.T00.J09 7.28.18-0010	B06	T00	J09	SE	6/20/2019	Melati Tarrant	Trochophore	0.058	0.052	0.174	Alive	Normal
CS.B06.T00.J09 7.28.18-0011	B06	T00	J09	SE	6/20/2019	Melati Tarrant	Trochophore	0.060	0.055	0.179	Alive	Normal
