LOC111099093	GO:0005930; GO:0036064; GO:0060271
LOC111103614	GO:0004017; GO:0005524; GO:0005524; GO:0005737; GO:0005739; GO:0006139; GO:0006139; GO:0016887
LOC111103630	GO:0000815; GO:0005771; GO:0015031; GO:0032509; GO:0045324
LOC111103655	GO:0003723; GO:0016607; GO:0048786
LOC111103668	GO:0005737; GO:0006457; GO:0019901; GO:0031072; GO:0050821; GO:0051082; GO:0051087
LOC111103840	GO:0005515
LOC111103847	GO:0009897; GO:0030246; GO:0044419
LOC111103862	GO:0005515
LOC111103869	GO:0003924; GO:0005525; GO:0007165
LOC111103885	GO:0005254; GO:0005737; GO:0006821; GO:0016324
LOC111103995	GO:0005319; GO:0005515; GO:0006869
LOC111104061	GO:0004842; GO:0016887; GO:0016887
LOC111104489	GO:0005515; GO:0005634; GO:0005829; GO:0008176; GO:0036265; GO:0036265; GO:0043527
LOC111104629	GO:0004198; GO:0005515; GO:0006508; GO:0019825; GO:0020037
LOC111104835	GO:0003924; GO:0005096; GO:0005515; GO:0005525; GO:0005634
LOC111105215	GO:0001671; GO:0005890; GO:0005890; GO:0006883; GO:0030007; GO:0036376; GO:1990573
LOC111105394	GO:0016787; GO:0016787
LOC111105474	GO:0000978; GO:0000981; GO:0001707; GO:0001708; GO:0003007; GO:0005634; GO:0006357; GO:0045893
LOC111105616	GO:0003735; GO:0003735; GO:0005840; GO:0005840; GO:0006412; GO:0006412; GO:0022625
LOC111105845	GO:0000209; GO:0005515; GO:0008270; GO:0043161; GO:0061630
LOC111106119	GO:0005220; GO:0005783; GO:0016020; GO:0070588; GO:0070679
LOC111106222	GO:0008270
LOC111106223	GO:0005885; GO:0005885; GO:0015629; GO:0015629; GO:0030041; GO:0030041; GO:0034314; GO:0034314; GO:0051015
LOC111106294	GO:0005515; GO:0008270
LOC111106298	GO:0004364; GO:0004364; GO:0006749
LOC111106506	GO:0005515
LOC111106588	GO:0004252; GO:0005515; GO:0005615
LOC111106648	GO:0005524; GO:0005524; GO:0005634; GO:0032958; GO:0035299; GO:0035299
LOC111106649	GO:0005634; GO:0005737; GO:0008285; GO:0045930
LOC111106696	GO:0000287; GO:0001561; GO:0003824; GO:0005777; GO:0030976; GO:0030976
LOC111106777	GO:0004560; GO:0004560; GO:0005764; GO:0006004; GO:0006004; GO:0016139
LOC111106790	GO:0000209; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111106791	GO:0000209; GO:0005515; GO:0008270; GO:0043161; GO:0061630
LOC111106945	GO:0000785; GO:0003682; GO:0005634; GO:0005634; GO:0006334; GO:0006334; GO:0042393
LOC111106980	GO:0005515
LOC111106992	GO:0004753; GO:0005737; GO:0019878
LOC111107009	GO:0005515; GO:0098609
LOC111107109	GO:0005507; GO:0005886; GO:0006826; GO:0016491; GO:0016491
LOC111107136	GO:0005509; GO:0005524; GO:0005524; GO:0006457; GO:0006457; GO:0007155; GO:0016887; GO:0016887; GO:0030433; GO:0051082; GO:0051082; GO:0140662; GO:0140662
LOC111107163	GO:0004707; GO:0005524; GO:0005634; GO:0005737; GO:0006468; GO:0035556
LOC111107273	GO:0004739; GO:0005967; GO:0006086
LOC111107274	GO:0005315; GO:0005743; GO:1990547
LOC111107342	GO:0008017; GO:0015630
LOC111107343	GO:0003723; GO:0003735; GO:0022627
LOC111107358	GO:0008290; GO:0008290; GO:0030036; GO:0030479; GO:0051015; GO:0051016; GO:0051016
LOC111107462	GO:0004697; GO:0005524; GO:0006468
LOC111107463	GO:0005515
LOC111107627	GO:0005515; GO:0080008
LOC111107786	GO:0000209; GO:0005515; GO:0008270; GO:0043161; GO:0061630
LOC111107875	GO:0000209; GO:0005515; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111107938	GO:0000785; GO:0004842; GO:0005654; GO:0008270; GO:0045893
LOC111107987	GO:0000981; GO:0004930; GO:0005515; GO:0005634; GO:0006357; GO:0007186; GO:0016020; GO:0030154; GO:0043565
LOC111108043	GO:0000184; GO:0003723; GO:0005515; GO:0005737; GO:0005844; GO:0035145
LOC111108065	GO:0005509; GO:0007160; GO:0016020
LOC111108086	GO:0005388; GO:0005388; GO:0005524; GO:0016020; GO:0016887; GO:0043231; GO:0051480; GO:0070588
LOC111108185	GO:0002116; GO:0004672; GO:0005515; GO:0005524; GO:0006468; GO:0007162; GO:0008360; GO:0017154; GO:0030334; GO:0043087; GO:0050772; GO:1902287
LOC111108202	GO:0000209; GO:0004842; GO:0005515; GO:0005634; GO:0008270; GO:0043161; GO:0045732
LOC111108271	GO:0005654; GO:0045814
LOC111108281	GO:0004672; GO:0005515; GO:0005524; GO:0006468; GO:0007165
LOC111108360	GO:0000127; GO:0003677; GO:0006384; GO:0042791
LOC111108423	GO:0008250; GO:0016020; GO:0016020; GO:0018279
LOC111108534	GO:0005085; GO:0055037
LOC111108678	GO:0000785; GO:0004842; GO:0005515; GO:0005654; GO:0008270; GO:0045893
LOC111108878	GO:0005509; GO:0005509; GO:0030234
LOC111108931	GO:0003755
LOC111109397	GO:0000122; GO:0017053; GO:0017053; GO:0031523
LOC111109444	GO:0007155; GO:0030198; GO:0031012; GO:0050839
LOC111109634	GO:0004674; GO:0005524; GO:0005737; GO:0006468
LOC111109659	GO:0005788; GO:0030433; GO:0030968; GO:0030970
LOC111109677	GO:0006357; GO:0008301
LOC111109745	GO:0003774; GO:0004100; GO:0005524; GO:0006038; GO:0016459; GO:0030428; GO:0071944
LOC111110034	GO:0001669; GO:0005515; GO:0031514; GO:0060271
LOC111110081	GO:0005515; GO:0008270
LOC111110098	GO:0004345; GO:0004345; GO:0005829; GO:0006006; GO:0006006; GO:0009051; GO:0050661; GO:0050661
LOC111110128	GO:0000978; GO:0000981; GO:0005634; GO:0006357
LOC111110271	GO:0000785; GO:0004842; GO:0005515; GO:0005654; GO:0008270; GO:0045893
LOC111110485	GO:0004565; GO:0004565; GO:0005773; GO:0005975; GO:0005975
LOC111110487	GO:0005737; GO:0005829; GO:0006470; GO:0008330; GO:0017017; GO:0017017; GO:0043409
LOC111110677	GO:0004674; GO:0004713; GO:0005524; GO:0005634; GO:0005737; GO:0018105; GO:0018107
LOC111110793	GO:0003779
LOC111111073	GO:0005509
LOC111111143	GO:0005509; GO:0005509; GO:0030234
LOC111111223	GO:0001708; GO:0005881; GO:0007026; GO:0007389; GO:0007399; GO:0008013; GO:0008013; GO:0008017; GO:0016055; GO:0016342; GO:0016477; GO:0030877; GO:0045295; GO:0045595; GO:0045732; GO:0090090
LOC111111600	GO:0000785; GO:0004842; GO:0005654; GO:0008270; GO:0045893
LOC111111615	GO:0000785; GO:0004842; GO:0005654; GO:0008270; GO:0045893
LOC111111687	GO:0000209; GO:0008270; GO:0043161; GO:0061630
LOC111111836	GO:0000209; GO:0008270; GO:0043161; GO:0061630
LOC111111852	GO:0005515; GO:0008270
LOC111111998	GO:0000245; GO:0003729; GO:0005686; GO:0005689; GO:0071004; GO:0071013
LOC111112113	GO:0003341; GO:0008017; GO:0015630
LOC111112117	GO:0030544; GO:0051082; GO:0061077
LOC111112118	GO:0004343; GO:0005783; GO:0005793; GO:0005794; GO:0006048; GO:0048029
LOC111112210	GO:0003712; GO:0003712; GO:0006357; GO:0006357; GO:0016592; GO:0016592
LOC111112266	GO:0005739; GO:0052856
LOC111112624	GO:0016020; GO:0016263; GO:0016267
LOC111112703	GO:0005769; GO:0035091; GO:0035091
LOC111112733	GO:0003729; GO:0005634; GO:0005737; GO:0006357; GO:0048024
LOC111112749	GO:0004866; GO:0005515; GO:0005576; GO:0005615
LOC111112811	GO:0000785; GO:0004842; GO:0005654; GO:0008270; GO:0045893
LOC111113026	GO:0004197; GO:0005615; GO:0005764; GO:0051603
LOC111113028	GO:0004197; GO:0005615; GO:0005764; GO:0051603
LOC111113334	GO:0007155; GO:0030198; GO:0031012; GO:0050839
LOC111113447	GO:0005524; GO:0007018; GO:0008569; GO:0016887; GO:0030286; GO:0045505; GO:0051959
LOC111113474	GO:0005515
LOC111114114	GO:0005178; GO:0007160; GO:0007229; GO:0008305; GO:0008305; GO:0009897; GO:0033627; GO:0098609
LOC111114166	GO:0005615; GO:0062023
LOC111114535	GO:0005515; GO:0007165
LOC111114626	GO:0004672; GO:0005524; GO:0006468
LOC111114765	GO:0005515; GO:0008270
LOC111114773	GO:0005786; GO:0006614; GO:0006614; GO:0006617; GO:0008312; GO:0008312
LOC111114829	GO:0000172; GO:0001682; GO:0003723
LOC111114904	GO:0000209; GO:0005515; GO:0008270; GO:0043161; GO:0061630
LOC111114909	GO:0000785; GO:0004842; GO:0005654; GO:0008270; GO:0045893
LOC111114919	GO:0000785; GO:0004842; GO:0005515; GO:0005654; GO:0008270; GO:0045893
LOC111114920	GO:0000785; GO:0004842; GO:0005515; GO:0005654; GO:0008270; GO:0045893
LOC111114922	GO:0000785; GO:0004842; GO:0005654; GO:0008270; GO:0045893
LOC111114931	GO:0016020; GO:0046513; GO:0046513; GO:0050291; GO:0050291
LOC111115338	GO:0000978; GO:0000981; GO:0005515; GO:0005634; GO:0005667; GO:0006357
LOC111115500	GO:0005524; GO:0016020; GO:0016020; GO:0016887; GO:0055085; GO:0055085; GO:0140359
LOC111115910	GO:0005452; GO:0005452; GO:0005886; GO:0006820; GO:0006820; GO:0008509; GO:0008510; GO:0015701; GO:0051453; GO:0055085
LOC111115975	GO:0003756; GO:0003756; GO:0005788; GO:0015035; GO:0034976
LOC111116264	GO:0005634; GO:0005737; GO:0008073; GO:0008073; GO:0045732
LOC111116971	GO:0003924; GO:0005525; GO:0006887; GO:0055037
LOC111117018	GO:0004867; GO:0005576; GO:0005615; GO:0010466
LOC111117024	GO:0000978; GO:0000981; GO:0006357; GO:0007179; GO:0007179; GO:0009653; GO:0030154; GO:0030509; GO:0060395; GO:0070411; GO:0071144
LOC111117092	GO:0005694; GO:0006357; GO:0043035
LOC111117100	GO:0007218; GO:0008528; GO:0016020
LOC111117101	GO:0003994; GO:0005739; GO:0005829; GO:0006099; GO:0006101; GO:0051539
LOC111117352	GO:0000978; GO:0000981; GO:0000981; GO:0005634; GO:0006357
LOC111117357	GO:0008270
LOC111117358	GO:0005515; GO:0008270
LOC111117607	GO:0003723; GO:0005634; GO:0006357; GO:0043565; GO:0050684
LOC111117742	GO:0000209; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111117745	GO:0000209; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111117872	GO:0004252; GO:0005787; GO:0006465; GO:0006465; GO:0016020; GO:0016020
LOC111117877	GO:0005813
LOC111117952	GO:0003779; GO:0030036
LOC111117972	GO:0005885; GO:0005885; GO:0015629; GO:0015629; GO:0034314; GO:0034314; GO:0051015
LOC111118011	GO:0003676; GO:0005634; GO:0006397; GO:0006511; GO:0008270; GO:0016567; GO:0061630
LOC111118026	GO:0003774; GO:0005515; GO:0005524; GO:0005856; GO:0016459
LOC111118045	GO:0007017; GO:0007017; GO:0030286; GO:0030286; GO:0045505; GO:0051959
LOC111118056	GO:0005737; GO:0005739; GO:0016226; GO:0016226; GO:0051537; GO:0097428
LOC111118152	GO:0033179; GO:0046961; GO:1902600
LOC111118211	GO:0005643
LOC111118247	GO:0005829; GO:0006979; GO:0008379; GO:0019430; GO:0033554; GO:0042744; GO:0045454
LOC111118348	GO:0003735; GO:0003735; GO:0005840; GO:0005840; GO:0006412; GO:0006412; GO:0022627
LOC111118384	GO:0004791
LOC111118546	GO:0008253; GO:0008253; GO:0009223
LOC111118667	GO:0005783; GO:0005801; GO:0006621; GO:0006621; GO:0006888; GO:0016020; GO:0016020; GO:0046923; GO:0046923
LOC111118786	GO:0000785; GO:0004842; GO:0005515; GO:0005654; GO:0008270; GO:0045893
LOC111118809	GO:0003723; GO:0005634; GO:0006357; GO:0043565; GO:0050684
LOC111118850	GO:0005509; GO:0005515; GO:0005737; GO:0005886; GO:0006897; GO:0016197
LOC111118939	GO:0005694; GO:0006357; GO:0043035
LOC111118943	GO:0003723; GO:0005737
LOC111118971	GO:0006886; GO:0016192; GO:0016192; GO:0030131; GO:0030136; GO:0035615
LOC111119106	GO:0000976; GO:0005515; GO:0048188; GO:0051568
LOC111119145	GO:0005509
LOC111119154	GO:0004621; GO:0004621; GO:0005576; GO:0005615; GO:0006507; GO:0031012
LOC111119169	GO:0005765
LOC111119190	GO:0004586; GO:0005737; GO:0033387
LOC111119206	GO:0005509; GO:0005509
LOC111119207	GO:0004843; GO:0016579
LOC111119215	GO:0000226; GO:0000922; GO:0004722; GO:0005730; GO:0005813; GO:0006470; GO:0007096; GO:0008138; GO:0032467; GO:0060271; GO:0072686; GO:1902636
LOC111119220	GO:0005524; GO:0005886; GO:0016887; GO:0140359
LOC111119234	GO:0001725; GO:0003779; GO:0005912; GO:0030018; GO:0030036; GO:0031941; GO:0051371; GO:0061061
LOC111119285	GO:0004930; GO:0004930; GO:0007166; GO:0007189; GO:0016020; GO:0030246
LOC111119327	GO:0005509
LOC111119366	GO:0005515
LOC111119375	GO:0004707; GO:0005524; GO:0005634; GO:0005737; GO:0006468; GO:0035556
LOC111119594	GO:0005815; GO:0005881; GO:0031110; GO:0035371; GO:0051010; GO:0051225; GO:0051233; GO:1904825
LOC111119602	GO:0004568; GO:0005515; GO:0005576; GO:0005576; GO:0005975; GO:0006032; GO:0008061; GO:0008061
LOC111119651	GO:0000977; GO:0001228; GO:0005634; GO:0006357
LOC111119660	GO:0005856; GO:0035869; GO:0036064; GO:0090090; GO:0097546; GO:0097730; GO:1904491
LOC111119662	GO:0043066; GO:0050821
LOC111119669	GO:0000281; GO:0005524; GO:0005737; GO:0005856; GO:0007266; GO:0018107; GO:0030866; GO:0031032; GO:0031267; GO:0048598; GO:0072518; GO:1901888
LOC111119744	GO:0035091
LOC111119747	GO:0004784; GO:0005507; GO:0019430
LOC111119846	GO:0000209; GO:0005634; GO:0006511; GO:0061631
LOC111119905	GO:0005515
LOC111119907	GO:0000278; GO:0000922; GO:0004674; GO:0005515; GO:0005524; GO:0005634; GO:0005737; GO:0005813; GO:0006468; GO:0032465
LOC111119917	GO:0005741; GO:0005741; GO:0008308; GO:0008308; GO:0098656; GO:0098656
LOC111119923	GO:0005319; GO:0005319; GO:0006869
LOC111119993	GO:0000278; GO:0004722; GO:0005829; GO:0070262
LOC111120008	GO:0004725; GO:0005515; GO:0006470
LOC111120106	GO:0000978; GO:0003700; GO:0005634; GO:0005737; GO:0006357; GO:0042826; GO:0045165
LOC111120134	GO:0035869; GO:1904491; GO:1905515
LOC111120188	GO:0019786
LOC111120248	GO:0002181; GO:0003924; GO:0003924; GO:0005525; GO:0005525; GO:0005737; GO:0032007
LOC111120350	GO:0001653; GO:0004383; GO:0004383; GO:0004672; GO:0005524; GO:0006182; GO:0006182; GO:0006468; GO:0007168; GO:0035556
LOC111120496	GO:0005515; GO:0005930; GO:0030991; GO:0035721; GO:0036064
LOC111120557	GO:0000028; GO:0000462; GO:0003735; GO:0003735; GO:0005840; GO:0005840; GO:0006412; GO:0006412; GO:0022627; GO:0048027; GO:0070181
LOC111120585	GO:0005524; GO:0007018; GO:0007018; GO:0008569; GO:0008569; GO:0016887; GO:0030286; GO:0030286; GO:0045505; GO:0051959
LOC111120594	GO:0007399; GO:0071565
LOC111120607	GO:0004089; GO:0005886; GO:0008270
LOC111120623	GO:0004725; GO:0006470; GO:0016020; GO:0016020; GO:0072657
LOC111120629	GO:0016788
LOC111120648	GO:0000381; GO:0003729; GO:0005634
LOC111120649	GO:0005737; GO:0006457; GO:0006457; GO:0016272; GO:0044183; GO:0051082; GO:0051082
LOC111120704	GO:0004300; GO:0005739; GO:0006635
LOC111120863	GO:0003723; GO:0003723; GO:0003724; GO:0005524
LOC111120879	GO:0005829; GO:0005854; GO:0042788
LOC111120905	GO:0005886; GO:0007229; GO:0050852; GO:0072659
LOC111120961	GO:0016020
LOC111120994	GO:0000027; GO:0003723; GO:0003735; GO:0003735; GO:0005840; GO:0005840; GO:0006412; GO:0006412; GO:0022625
LOC111120995	GO:0005747
LOC111121024	GO:0004478; GO:0004478; GO:0005524; GO:0005524; GO:0005829; GO:0006556; GO:0006556
LOC111121096	GO:0000124; GO:0003713; GO:0006357
LOC111121105	GO:0006857; GO:0016020; GO:0022857; GO:0055085
LOC111121192	GO:0001578; GO:0005874; GO:0015631; GO:0015631; GO:0032273; GO:0046785; GO:0046785
LOC111121311	GO:0008270
LOC111121348	GO:0005515
LOC111121375	GO:0004252; GO:0005789; GO:0042058; GO:0050708
LOC111121483	GO:0004930; GO:0007166; GO:0007186; GO:0016020
LOC111121709	GO:0005245; GO:0005891
LOC111121712	GO:0005096; GO:0005515; GO:0005622; GO:0005737; GO:0007165; GO:0032956; GO:0035020; GO:0043547
LOC111121719	GO:0003994; GO:0003994; GO:0005739; GO:0005829; GO:0006099; GO:0006099; GO:0051539; GO:0051539
LOC111121745	GO:0003729; GO:0003729; GO:0005685; GO:0005685; GO:0006376; GO:0006376; GO:0071004
LOC111121773	GO:0004674; GO:0005524; GO:0005778; GO:0005829; GO:0007031; GO:0030490; GO:0030688
LOC111121859	GO:0005783; GO:0034976; GO:1904294
LOC111121913	GO:0005509; GO:0005509; GO:0030234
LOC111122055	GO:0008119; GO:0008119
LOC111122121	GO:0004364; GO:0006749
LOC111122162	GO:0003682
LOC111122172	GO:0005515; GO:0042981
LOC111122219	GO:0003712; GO:0005515; GO:0005634; GO:0005667; GO:0006355; GO:0090309
LOC111122529	GO:0016491; GO:0016491
LOC111122539	GO:0005507; GO:0005507; GO:0005524; GO:0005802; GO:0006812; GO:0016020; GO:0016020; GO:0016887; GO:0043682; GO:0048471; GO:0055070
LOC111122671	GO:0005123; GO:0005737; GO:0031265; GO:0036462; GO:0089720; GO:2001238
LOC111122703	GO:0005546; GO:0005737; GO:0007010; GO:0008154; GO:0015629; GO:0051014; GO:0051015; GO:0051015; GO:0051016
LOC111122730	GO:0000977; GO:0000981; GO:0005634; GO:0006357; GO:0009790; GO:0009887; GO:0009948; GO:0030154
LOC111122805	GO:0003777; GO:0003777; GO:0005524; GO:0007018; GO:0007018; GO:0008017
LOC111122937	GO:0005764; GO:0016790
LOC111122996	GO:0000973; GO:0005643; GO:0005643; GO:0006405; GO:0006606; GO:0017056; GO:0017056; GO:0044614
LOC111123097	GO:0005634
LOC111123124	GO:0000276; GO:0015078; GO:0015986
LOC111123130	GO:0004252; GO:0004252; GO:0005509; GO:0016020
LOC111123410	GO:0000339; GO:0005829; GO:0010494; GO:0045727; GO:0048255
LOC111123434	GO:0005524; GO:0007018; GO:0007018; GO:0008569; GO:0008569; GO:0030286; GO:0030286; GO:0045505; GO:0051959
LOC111123556	GO:0005515
LOC111123867	GO:0003735; GO:0022627
LOC111123971	GO:0004725; GO:0005515; GO:0005768; GO:0006470; GO:0032456; GO:0043328; GO:0045022
LOC111124011	GO:0004714; GO:0005509; GO:0005524; GO:0006468; GO:0007169; GO:0007275; GO:0033674; GO:0043235
LOC111124373	GO:0016020; GO:0019228; GO:0043194; GO:0044325; GO:0045202; GO:1902260
LOC111124392	GO:0005576; GO:0008061
LOC111124399	GO:0044458; GO:0070286
LOC111124504	GO:0004252; GO:0005615; GO:0008270
LOC111124508	GO:0000209; GO:0008270; GO:0043161; GO:0061630
LOC111124510	GO:0000209; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111124552	GO:0005634
LOC111124573	GO:0005634
LOC111124576	GO:0004222; GO:0006508
LOC111124622	GO:0016020; GO:0016020; GO:0035725
LOC111124673	GO:0003743; GO:0003924; GO:0005525
LOC111124709	GO:0000786; GO:0003677; GO:0006334; GO:0030527; GO:0046982
LOC111124746	GO:0003924; GO:0005525; GO:0005940; GO:0015630; GO:0031105; GO:0032153; GO:0060090; GO:0061640
LOC111124927	GO:0005391; GO:0005524; GO:0006883; GO:0016020; GO:0016887; GO:0030007; GO:0036376; GO:1902600; GO:1990573
LOC111124991	GO:0004596; GO:0005515; GO:0005737; GO:0017196; GO:0031415
LOC111125036	GO:0000398; GO:0003723; GO:0003723; GO:0005515; GO:0071013
LOC111125059	GO:0000226; GO:0000278; GO:0003924; GO:0005200; GO:0005200; GO:0005525; GO:0005525; GO:0005737; GO:0005874; GO:0005874
LOC111125239	GO:0016020; GO:0016020
LOC111125241	GO:0000159; GO:0003676; GO:0005515; GO:0005737; GO:0006139; GO:0006470; GO:0008408; GO:0019888
LOC111125357	GO:0005509; GO:0005886; GO:0007156
LOC111125384	GO:0030154
LOC111125386	GO:0005789; GO:0005789; GO:0030433; GO:0030968; GO:0030970; GO:0036502; GO:0036513
LOC111125421	GO:0000278; GO:0005509; GO:0005509; GO:0005813; GO:0005814; GO:0007099
LOC111125498	GO:0000340; GO:0000902; GO:0006417; GO:0007411; GO:0030031; GO:0030833; GO:0030833; GO:0031209; GO:0031267; GO:0031267; GO:0043005; GO:0045202
LOC111125544	GO:0005315; GO:0005315; GO:0016020; GO:0016020; GO:0035435
LOC111125575	GO:0005524; GO:0005765; GO:0016887; GO:0033180; GO:0046034; GO:0046034; GO:0046961; GO:0046961; GO:1902600; GO:1902600
LOC111125717	GO:0003723
LOC111125836	GO:0016471; GO:0016471; GO:0046961; GO:0046961; GO:1902600; GO:1902600
LOC111125850	GO:0005524; GO:0016887; GO:0035499; GO:0046872; GO:0047730
LOC111125942	GO:0005515; GO:0005856
LOC111125972	GO:0005829; GO:0010181; GO:0016491
LOC111125990	GO:0000502; GO:0000724; GO:0006406; GO:0006406; GO:0008541; GO:0008541; GO:0043248; GO:0043248
LOC111126052	GO:0005634; GO:0035064; GO:0045893
LOC111126109	GO:0004550; GO:0004550; GO:0006183; GO:0006228; GO:0006241
LOC111126139	GO:0005737
LOC111126159	GO:0003723; GO:0003723
LOC111126240	GO:0005576
LOC111126300	GO:0005813; GO:0030992; GO:0031514; GO:0042073; GO:0042073; GO:0060271
LOC111126335	GO:0005385; GO:0006882; GO:0016020; GO:0071577
LOC111126360	GO:0000978; GO:0000981; GO:0006357
LOC111126492	GO:0004356; GO:0004356; GO:0005737; GO:0006542; GO:0006542
LOC111126579	GO:0000785; GO:0003682; GO:0005634; GO:0005634; GO:0006334; GO:0006334; GO:0042393
LOC111126626	GO:0000932; GO:0006402; GO:0017148; GO:0030014; GO:0030015
LOC111126757	GO:0043005
LOC111126780	GO:0005515; GO:0005813; GO:0036064; GO:0060287
LOC111126836	GO:0043005
LOC111126968	GO:0005509; GO:0005886; GO:0030036; GO:0030054; GO:0030864; GO:0042995; GO:0051015
LOC111127007	GO:0000423; GO:0005080; GO:0007032; GO:0008270; GO:0016235; GO:0035973; GO:0044753; GO:0070530
LOC111127230	GO:0005524; GO:0005832; GO:0006457; GO:0006457; GO:0016887; GO:0051082; GO:0051082; GO:0140662; GO:0140662
LOC111127475	GO:0030515; GO:0031428; GO:0032040
LOC111127607	GO:0016020; GO:0016020
LOC111127613	GO:0005886
LOC111127772	GO:0000338; GO:0005515; GO:0008180
LOC111127946	GO:0005737; GO:0016831; GO:0019752; GO:0030170
LOC111128032	GO:0000978; GO:0000981; GO:0005634; GO:0005667; GO:0006357
LOC111128045	GO:0032589; GO:0050808
LOC111128059	GO:0000045; GO:0000407; GO:0000422; GO:0019898; GO:0032266; GO:0034727; GO:0044805; GO:0061709
LOC111128063	GO:0005509; GO:0005886; GO:0030018; GO:0030036; GO:0030054; GO:0030864; GO:0042995; GO:0051015; GO:0055001
LOC111128085	GO:0005737; GO:0005871; GO:0005871; GO:0007018; GO:0019894; GO:0043227
LOC111128115	GO:0005634; GO:0005737; GO:0016567; GO:0019941; GO:0031386; GO:0031625
LOC111128139	GO:0005737; GO:0005854; GO:0005854; GO:0006612; GO:0051082
